name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
johnny-russell;SKC;29;18;1735;4;33;9;0.21;3;0;1;4.55;45;16;35.6;8.9;1;48;9
nokkvi-thorisson;STL;30;10;1177;4;10;28;0.31;11;0;0;6.57;49;17;34.7;8.2;10;0;5
timothy-tillman;LAFC;32;29;2484;4;6;26;0.14;2;0;0;4.54;35;11;31.4;11.4;0;1;11
dante-vanzeir;RBNY;32;27;2101;4;13;33;0.17;7;0;0;9.56;53;19;35.9;7.5;14;0;14
kellyn-acosta;CHI;34;27;2311;3;10;15;0.12;0;0;0;1.52;25;8;32;12;0;56;6
kervin-arriaga;MIN;13;9;878;3;0;8;0.31;9;0;0;1.44;17;5;29.4;17.6;0;0;4
yamil-asad;CIN;23;8;794;3;4;12;0.34;2;0;0;1.38;18;9;50;16.7;3;8;8
corey-baird;CIN;22;11;950;3;3;11;0.28;2;0;0;3.36;16;7;43.8;18.8;8;0;5
esmir-bajraktarevic;NE;29;22;1990;3;36;9;0.14;1;0;0;3.31;46;17;37;6.5;1;37;6
amine-bassi;HOU;31;30;2541;3;3;51;0.11;1;0;0;5.31;55;15;27.3;5.5;10;70;11
guilherme-biro;ATX;31;26;2286;3;12;4;0.12;5;0;0;2.25;21;5;23.8;14.3;3;1;3
jesus-bueno;PHI;14;7;622;3;3;9;0.43;1;0;0;2.25;13;5;38.5;23.1;1;7;3
teal-bunbury;NSH;27;12;1145;3;2;14;0.24;6;2;2;5.45;22;8;36.4;13.6;10;0;5
wikelman-carmona;RBNY;24;18;1596;3;33;4;0.17;0;0;0;2.77;38;15;39.5;7.9;1;9;6
adalberto-carrasquilla;HOU;28;26;2298;3;5;26;0.12;0;0;0;1.96;31;13;41.9;9.7;4;6;10
matt-crooks;RSL;29;23;1895;3;2;14;0.14;7;0;0;4.96;24;9;37.5;12.5;3;1;8
cristian-dajome;DC;31;23;2025;3;7;24;0.13;4;0;0;3.88;35;10;28.6;8.6;4;0;5
jacob-davis;SKC;27;25;2229;3;2;13;0.12;0;0;0;0.63;15;4;26.7;20;0;6;8
griffin-dorsey;HOU;32;31;2659;3;13;24;0.1;7;0;0;3.13;44;13;29.6;6.8;2;0;7
bryce-duke;MTL;32;24;2143;3;11;23;0.13;0;0;0;2.98;34;13;38.2;8.8;3;24;8
derrick-etienne-jr;TOR;23;19;1654;3;4;20;0.16;1;0;0;3.75;25;7;28;12;12;0;4
jon-gallagher;ATX;32;30;2664;3;4;11;0.1;1;0;0;2.03;16;7;43.8;18.8;4;0;6
diego-gomez;MIA;19;15;1359;3;3;16;0.2;3;0;0;2.23;22;13;59.1;13.6;4;0;10
marcel-hartel;STL;9;9;810;3;3;11;0.33;0;1;1;2.11;14;6;42.9;21.4;4;23;10
fabian-herbers;CHI;30;24;2038;3;6;14;0.13;3;0;0;2.57;23;8;34.8;13;1;0;8
