name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
carlos-teran;CHI;18;14;1221;727;849;85.6;7;0;1;1;0.07;48;139;50;17
moise-bombito;COL;18;17;1547;721;846;85.2;1;0;0;1;0.06;48;108;0;10
memo-rodriguez;SKC;26;18;1615;715;834;85.7;39;55;20;6;0.33;53;177;27.78;41
sebastian-berhalter;VAN;31;18;1859;714;878;81.3;43;54;36;5;0.24;59;167;35.29;55
raheem-edwards;MTL;25;18;1554;710;864;82.2;26;13;11;5;0.29;17;251;26.19;23
roman-burki;STL;32;32;2822;709;1021;69.4;1;0;0;0;0;145;57;0;106
joaquin-sosa;MTL;19;15;1273;709;837;84.7;6;0;4;0;0;25;222;36.36;22
miguel-araujo;POR;22;17;1541;706;849;83.2;5;0;1;4;0.23;46;71;100;37
shaquell-moore;NSH;23;19;1670;699;825;84.7;19;0;14;4;0.22;30;159;26.92;15
carlos-gruezo;SJ;24;23;1977;698;788;88.6;9;0;0;0;0;38;153;0;40
lionel-messi;MIA;19;15;1485;697;862;80.9;32;36;7;16;0.97;24;261;24.14;52
yuya-kubo;CIN;32;27;2408;695;841;82.6;30;7;7;2;0.07;10;245;63.64;10
jhojan-valencia;ATX;27;16;1434;692;774;89.4;2;0;0;1;0.06;50;181;0;20
frankie-amaya;RBNY;20;18;1610;687;813;84.5;19;9;2;3;0.17;32;171;20;17
tah-brian-anunga;NSH;30;17;1447;685;778;88;6;0;1;0;0;12;223;16.67;11
hugo-lloris;LAFC;33;33;2970;685;975;70.3;3;0;0;1;0.03;146;39;0;58
carlos-akapo-martinez;SJ;21;20;1605;679;831;81.7;12;0;5;1;0.06;23;201;26.32;26
tomas-totland;STL;30;28;2489;677;922;73.4;24;0;11;2;0.07;27;205;21.15;16
yannick-bright;MIA;23;14;1403;676;773;87.5;7;0;0;3;0.19;12;230;0;3
vitor-costa-de-brito;SJ;29;22;2104;674;848;79.5;15;0;4;3;0.13;34;170;13.79;28
martin-caceres;LA;15;14;1074;673;707;95.2;1;0;0;0;0;11;180;0;12
remi-walter;SKC;19;14;1283;672;718;93.6;11;10;2;2;0.14;31;170;15.38;22
aliyu-ibrahim;HOU;34;33;2666;670;796;84.2;24;0;6;5;0.17;6;268;30;2
maarten-paes;DAL;30;30;2700;667;871;76.6;0;0;0;0;0;83;92;0;63
diego-fagundez;LA;34;19;1665;663;751;88.3;41;62;23;5;0.27;15;237;35.38;33
philip-quinton;RSL;19;15;1228;658;740;88.9;4;0;0;0;0;24;156;0;23
dejuan-jones;NE;17;16;1414;657;782;84;12;1;8;2;0.13;11;178;33.33;13
mauricio-pineda;CHI;21;11;1143;656;733;89.5;1;0;1;0;0;31;164;33.33;22
claudio-bravo;POR;22;19;1602;652;797;81.8;10;1;11;2;0.11;27;179;29.73;12
zac-macmath;RSL;23;23;2070;651;860;75.7;5;0;0;0;0;103;79;0;57
joseph-paintsil;LA;29;28;2309;650;770;84.4;54;27;14;10;0.39;7;267;25.93;19
djibril-diani;CLT;28;21;1786;648;737;87.9;18;0;3;2;0.1;9;219;30;13
nick-lima;NE;25;20;1819;645;772;83.5;11;0;9;0;0;31;143;24.32;2
tayvon-gray;NYC;27;19;1631;640;813;78.7;23;0;13;7;0.39;16;203;36.11;4
ruan;MTL;25;24;2006;638;761;83.8;22;0;15;6;0.27;8;249;27.78;3
yohei-takaoka;VAN;33;33;2970;638;885;72.1;1;0;0;0;0;74;63;0;49
nicolas-freire;MIA;10;9;740;637;692;92;0;0;0;0;0;32;110;0;3
tanner-beason;SJ;26;17;1620;636;756;84.1;5;0;1;0;0;32;112;33.33;14
steve-clark;HOU;31;31;2773;632;770;82.1;0;0;0;1;0.03;66;98;0;42
maren-haile-selassie;CHI;27;23;2040;626;733;85.4;34;38;13;8;0.35;7;279;22.03;15
patrick-schulte;CLB;27;27;2430;625;800;78.1;0;0;0;0;0;71;88;0;46
juan-camilo-hernandez-suarez;CLB;27;23;2118;624;863;72.3;51;1;12;14;0.59;56;205;32.43;8
zack-steffen;COL;33;33;2970;624;928;67.2;1;0;0;0;0;92;39;0;86
lalas-abubakar;COL;18;15;1279;623;683;91.2;2;0;0;1;0.07;8;192;0;11
noah-cobb;ATL;19;16;1353;623;733;85;2;0;0;0;0;35;122;0;7
luis-abram;ATL;19;11;1095;620;694;89.3;4;0;0;0;0;23;137;0;6
alex-muyl;NSH;34;27;2307;614;770;79.7;24;1;10;2;0.08;21;218;37.04;9
martin-rodriguez;DC;25;12;1252;612;683;89.6;16;4;5;5;0.36;22;212;35.71;14
daniel-steres;HOU;21;12;1169;607;687;88.4;10;0;2;4;0.31;21;143;28.57;7
noah-allen;MIA;18;8;918;600;679;88.4;4;0;1;0;0;22;114;33.33;9
quinn-sullivan;PHI;34;25;2402;599;790;75.8;43;2;11;11;0.41;14;246;18.64;10
josh-atencio;SEA;22;12;1066;596;720;82.8;12;0;4;1;0.08;14;223;25;8
kyle-smith;ORL;29;12;1143;591;706;83.7;8;0;7;3;0.24;20;189;41.18;15
kyle-hiebert;STL;20;14;1362;586;695;84.3;5;0;0;0;0;22;146;0;9
esmir-bajraktarevic;NE;29;22;1990;582;689;84.5;29;37;16;3;0.14;13;183;27.59;14
andres-reyes;RBNY;23;18;1492;582;697;83.5;2;0;0;1;0.06;18;101;0;14
niko-tsakiris;SJ;25;19;1474;581;678;85.7;11;0;2;1;0.06;7;186;22.22;16
john-nelson;LA;23;12;1167;580;657;88.3;6;0;1;1;0.08;12;169;16.67;2
owen-wolff;ATX;33;17;1777;579;672;86.2;25;38;11;4;0.2;13;164;22;22
wyatt-omsberg;CHI;12;11;838;573;665;86.2;2;0;0;0;0;17;126;0;14
